no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,debt_to_income_ratio,total_assets,loan_to_asset_ratio,monthly_income,monthly_payment,payment_to_income_ratio
2,1,0,8500000,29400000,12,576,5600000,25200000,9000000,0,3.4588231224913972,39800000,0.7386934487765465,708333.3333333334,2450000.0,3.4588186463736754
0,1,0,700000,1400000,14,639,700000,2400000,900000,0,1.9999971428612244,4000000,0.3499999125000219,58333.333333333336,100000.0,1.7142563270343936
4,0,0,3500000,8900000,4,470,2200000,12300000,2000000,1,2.542856416326738,16500000,0.5393939067033996,291666.6666666667,2225000.0,7.6285452735590615
0,1,0,8800000,31200000,4,826,500000,33300000,8600000,0,3.545454142562029,42400000,0.7358490392488434,733333.3333333334,7800000.0,10.636349132251183
2,1,1,9900000,21200000,16,363,11400000,26600000,6800000,1,2.1414139251097044,44800000,0.4732142751514671,825000.0,1325000.0,1.6060586593228372
3,0,0,3600000,8600000,20,613,300000,10300000,3300000,0,2.3888882253088264,13900000,0.6187049914600725,300000.0,430000.0,1.4333285555714814
3,1,1,3000000,8200000,16,713,5800000,11000000,3400000,0,2.7333324222225257,20200000,0.40594057396333794,250000.0,512500.0,2.0499918000328
2,0,0,6800000,21200000,16,439,4700000,23300000,3600000,1,3.117646600346088,31600000,0.6708860547187957,566666.6666666666,1325000.0,2.338231167827351
5,1,1,1100000,3800000,18,387,1200000,3800000,1600000,1,3.454542314052442,6600000,0.5757574885215927,91666.66666666667,211111.11111111112,2.3030051793374375
1,1,1,8700000,28300000,8,402,13600000,27900000,10200000,1,3.2528731893249208,51700000,0.5473887708435441,725000.0,3537500.0,4.879303614753635
4,0,1,2000000,8000000,6,837,2600000,3900000,2900000,0,3.999998000001,9400000,0.8510637392485384,166666.66666666666,1333333.3333333333,7.9999520002879985
2,1,0,9800000,37600000,10,641,0,23400000,7600000,0,3.836734302374051,31000000,1.2129031866805424,816666.6666666666,3760000.0,4.604075995008986
4,0,0,5700000,21100000,18,489,4300000,12500000,6000000,1,3.701753736534432,22800000,0.9254385559018177,475000.0,1172222.2222222222,2.467831061876127
4,0,0,8800000,20700000,18,540,3200000,22400000,12700000,1,2.3522724599690386,38300000,0.5404699597788523,733333.3333333334,1150000.0,1.568179679754982
4,0,0,3800000,8900000,4,844,3500000,13100000,4700000,0,2.3421046468145668,21300000,0.41784035596993635,316666.6666666667,2225000.0,7.026293601178101
1,0,0,1700000,6400000,10,452,1100000,5600000,2100000,1,3.764703667821372,8800000,0.7272726446281086,141666.66666666666,640000.0,4.517615169775272
2,0,0,1000000,2000000,10,366,400000,3200000,1300000,1,1.999998000002,4900000,0.4081631820075139,83333.33333333333,200000.0,2.399971200345596
5,0,0,300000,1100000,2,300,500000,700000,400000,0,3.666654444485185,1600000,0.6874995703127685,25000.0,550000.0,21.999120035198594
2,0,1,6600000,15000000,18,470,4800000,18200000,7000000,1,2.272726928374708,30000000,0.4999999833333339,550000.0,833333.3333333334,1.5151487603355873
2,1,0,8700000,25000000,20,861,8500000,23200000,7300000,0,2.87356288809622,39000000,0.6410256245890865,725000.0,1250000.0,1.7241355529164788
4,0,0,9400000,29400000,12,562,15200000,36400000,7100000,0,3.1276592417383786,58700000,0.5008517802239901,783333.3333333334,2450000.0,3.1276555817162786
0,0,0,4400000,10800000,14,463,4800000,13800000,4700000,1,2.4545448966943417,23300000,0.46351929341118914,366666.6666666667,771428.5714285715,2.1038903660132875
4,1,0,400000,900000,12,478,100000,1200000,100000,1,2.2499943750140625,1400000,0.6428566836737973,33333.333333333336,75000.0,2.249932502024939
2,1,1,300000,1100000,2,702,200000,500000,200000,0,3.666654444485185,900000,1.2222208641990397,25000.0,550000.0,21.999120035198594
2,1,1,4300000,12900000,20,618,3600000,11400000,2400000,0,2.999999302325744,17400000,0.7413792677368237,358333.3333333333,645000.0,1.7999949767582044
4,0,0,1600000,4500000,12,633,1700000,4100000,1900000,0,2.8124982421885987,7700000,0.5844155085174664,133333.33333333334,375000.0,2.812478906408202
5,1,1,6200000,23600000,10,331,10300000,23800000,8700000,1,3.8064509989595163,42800000,0.5514018562756575,516666.6666666667,2360000.0,4.567733094710139
3,1,1,4200000,9700000,16,841,300000,16700000,5100000,0,2.309523259637319,22100000,0.43891400728895896,350000.0,606250.0,1.7321379081774053
4,1,1,9000000,18100000,12,764,16500000,20800000,11600000,0,2.011110887654346,48900000,0.3701431417148642,750000.0,1508333.3333333333,2.0111084296332047
0,0,0,2700000,10600000,6,591,2700000,9900000,1800000,0,3.925924471879825,14400000,0.7361110599922875,225000.0,1766666.6666666667,7.8518169548876084
1,0,1,9700000,35900000,2,719,7600000,20400000,10900000,0,3.701030546285511,38900000,0.9228791536534922,808333.3333333334,17950000.0,22.20615809547452
2,0,0,3300000,6800000,14,317,300000,11700000,3600000,1,2.060605436180171,15600000,0.43589740795529436,275000.0,485714.28571428574,1.7662273435888804
0,1,0,300000,1100000,8,778,200000,900000,100000,0,3.666654444485185,1200000,0.9166659027784143,25000.0,137500.0,5.4997800087996485
3,0,1,7400000,18200000,14,302,3100000,17900000,5000000,1,2.459459127100118,26000000,0.6999999730769241,616666.6666666666,1300000.0,2.108104689559963
5,1,0,7100000,19700000,8,502,5600000,25300000,9800000,1,2.7746474965285217,40700000,0.48402947213686803,591666.6666666666,2462500.0,4.161964796679217
5,1,1,7300000,22100000,18,879,10600000,19300000,9800000,0,3.027396845562076,39700000,0.5566750489502507,608333.3333333334,1227777.7777777778,2.0182615224924745
1,1,0,8400000,23400000,14,437,5800000,33400000,8100000,1,2.785713954081672,47300000,0.49471457727876156,700000.0,1671428.5714285714,2.387751690966972
0,1,1,3300000,10800000,12,797,6000000,7700000,3300000,0,3.272726280992036,17000000,0.6352940802768188,275000.0,900000.0,3.272715371944102
4,1,1,5800000,23200000,18,456,4200000,22600000,7500000,1,3.9999993103449465,34300000,0.6763848199304717,483333.3333333333,1288888.888888889,2.6666611494367025
0,1,0,600000,1600000,6,647,600000,1500000,700000,0,2.6666622222296295,2800000,0.5714283673470116,50000.0,266666.6666666667,5.333226668799957
0,1,0,7200000,15800000,12,379,12200000,21500000,3600000,1,2.1944441396605363,37300000,0.42359248194122034,600000.0,1316666.6666666667,2.194440787043133
1,1,1,9100000,32900000,2,717,2000000,23600000,5900000,0,3.6153842180896465,31500000,1.0444444112874791,758333.3333333334,16450000.0,21.6922790871045
5,0,0,900000,2300000,16,545,200000,2700000,800000,1,2.5555527160525378,3700000,0.6216214536158233,75000.0,143750.0,1.9166411114518473
2,0,0,800000,3200000,8,317,1000000,2000000,900000,1,3.99999500000625,3900000,0.8205126101249718,66666.66666666667,400000.0,5.9999100013499795
1,1,0,8500000,32900000,10,570,6200000,20500000,5500000,0,3.8705877799308492,32200000,1.0217390987037547,708333.3333333334,3290000.0,4.6446993251303645
0,1,1,9000000,18700000,18,865,0,20900000,11300000,0,2.0777775469136057,32200000,0.5807453235793377,750000.0,1038888.8888888889,1.3851833382740675
3,0,0,7000000,19500000,14,719,10300000,18200000,10200000,0,2.785713887755159,38700000,0.5038759559721975,583333.3333333334,1392857.142857143,2.387751008753373
3,0,0,200000,600000,16,821,100000,500000,100000,0,2.9999850000749997,700000,0.8571416326548105,16666.666666666668,37500.0,2.2498650080995137
4,1,1,400000,800000,10,859,500000,800000,200000,0,1.9999950000125,1500000,0.5333329777780148,33333.333333333336,80000.0,2.399928002159935
3,1,0,5100000,18200000,10,395,8000000,15500000,6300000,1,3.568626751249657,29800000,0.6107382345389855,425000.0,1820000.0,4.282342865075612
2,1,1,700000,2600000,12,429,1300000,2700000,800000,1,3.7142804081708456,4800000,0.5416665538194679,58333.333333333336,216666.66666666666,3.7142220419078527
3,0,0,400000,1200000,12,861,600000,1100000,200000,0,2.99999250001875,1900000,0.6315786149586237,33333.333333333336,100000.0,2.999910002699919
0,1,1,9500000,20800000,14,565,11900000,33900000,13400000,0,2.1894734537396365,59200000,0.3513513454163624,791666.6666666666,1485714.2857142857,1.8766893587683289
5,0,0,8800000,22600000,10,357,8600000,18200000,4900000,1,2.5681815263430083,31700000,0.7129337314531946,733333.3333333334,2260000.0,3.0818139793445734
3,1,1,1800000,3600000,18,465,500000,5400000,2600000,1,1.9999988888895062,8500000,0.4235293619377221,150000.0,200000.0,1.3333244445037034
4,1,1,6800000,13900000,8,479,9100000,25700000,9600000,1,2.0441173464533313,44400000,0.31306305601209333,566666.6666666666,1737500.0,3.06617105969813
3,1,0,1500000,5500000,16,717,800000,4400000,1300000,0,3.6666642222238517,6500000,0.8461537159763514,125000.0,343750.0,2.749978000175999
3,0,0,1600000,5500000,12,425,800000,5400000,900000,1,3.4374978515638426,7100000,0.7746477782186227,133333.33333333334,458333.3333333333,3.4374742189433576
2,1,0,4600000,16700000,2,786,5900000,13900000,6100000,0,3.6304339933839147,25900000,0.6447876198923699,383333.3333333333,8350000.0,21.782551871603815
5,1,1,2200000,6700000,6,382,1300000,8600000,1100000,1,3.045453161157654,11000000,0.6090908537190133,183333.33333333334,1116666.6666666667,6.090875867949811
3,1,1,2900000,8500000,12,564,3100000,7500000,1800000,0,2.9310334720574236,12400000,0.6854838156867891,241666.66666666666,708333.3333333334,2.931022354390258
0,0,0,200000,700000,8,501,200000,700000,100000,1,3.4999825000874996,1000000,0.6999993000007,16666.666666666668,87500.0,5.249685018898866
2,1,1,2500000,9400000,10,727,4100000,9500000,3300000,0,3.7599984960006014,16900000,0.5562129848394683,208333.33333333334,940000.0,4.511978342503956
4,1,0,3600000,7500000,6,894,6500000,7400000,2800000,0,2.08333275462979,16700000,0.4491017695148641,300000.0,1250000.0,4.166652777824074
0,0,1,5500000,16700000,18,829,1300000,12800000,5900000,0,3.036363084297621,20000000,0.8349999582500021,458333.3333333333,927777.7777777778,2.0242380077231346
4,1,0,6600000,17400000,20,506,10000000,25900000,7200000,1,2.636363236914661,43100000,0.40371228761688427,550000.0,870000.0,1.581815305790353
2,0,1,8600000,32100000,6,802,16700000,24500000,9800000,0,3.732557705516546,51000000,0.6294117523644754,716666.6666666666,5350000.0,7.465105862642983
5,1,0,600000,1500000,14,543,900000,2100000,300000,1,2.499995833340278,3300000,0.45454531680444943,50000.0,107142.85714285714,2.1428142865714115
3,0,1,1400000,3200000,20,772,900000,5100000,1600000,0,2.2857126530623906,7600000,0.4210525761772926,116666.66666666667,160000.0,1.3714168164272877
3,0,0,4000000,11100000,12,572,100000,12500000,2400000,0,2.7749993062501734,15000000,0.7399999506666699,333333.3333333333,925000.0,2.774991675024975
0,1,1,4900000,11900000,16,709,900000,18500000,3800000,0,2.4285709329447074,23200000,0.5129310123736632,408333.3333333333,743750.0,1.8214241107980962
5,0,0,2000000,6200000,18,402,2100000,7200000,1100000,1,3.099998450000775,10400000,0.5961537888313665,166666.66666666666,344444.44444444444,2.0666542667410663
1,1,1,5200000,19300000,8,481,9500000,18800000,4200000,1,3.711537747781202,32500000,0.593846135573965,433333.3333333333,2412500.0,5.567294844704205
5,0,1,8900000,28800000,6,772,5500000,20400000,8400000,0,3.2359546925893605,34300000,0.8396501212929994,741666.6666666666,4800000.0,6.471901386200378
1,0,1,6500000,20600000,2,306,1900000,18100000,3200000,0,3.16923028165688,23200000,0.8879309962098708,541666.6666666666,10300000.0,19.015349510123983
2,1,0,1300000,4500000,6,415,900000,2900000,1200000,1,3.461535798818616,5000000,0.899999820000036,108333.33333333333,750000.0,6.923013018341369
3,1,0,9400000,35000000,16,548,4400000,36100000,4800000,1,3.7234038592123553,45300000,0.7726269145115472,783333.3333333334,2187500.0,2.7925496265323915
5,1,0,5000000,11200000,8,701,500000,14000000,4600000,0,2.2399995520000897,19100000,0.5863874038540626,416666.6666666667,1400000.0,3.3599919360193535
2,0,0,3000000,7700000,12,890,4300000,8400000,2100000,0,2.5666658111113962,14800000,0.520270235116876,250000.0,641666.6666666666,2.5666564000410665
5,1,1,9900000,33300000,6,364,18700000,27800000,8300000,1,3.363636023875149,54800000,0.6076642224878791,825000.0,5550000.0,6.727264573012639
5,0,1,700000,1300000,20,704,0,2200000,600000,0,1.8571402040854228,2800000,0.464285548469447,58333.333333333336,65000.0,1.114266612572356
3,0,1,4000000,10600000,10,318,5100000,8000000,4900000,1,2.649999337500166,18000000,0.5888888561728414,333333.3333333333,1060000.0,3.17999046002862
5,1,0,3100000,9600000,2,761,1800000,10400000,4200000,0,3.096773194589292,16400000,0.5853658179654989,258333.33333333334,4800000.0,18.580573236490697
4,1,0,4500000,15100000,6,693,1500000,17800000,6000000,0,3.355554809876709,25300000,0.5968379210736,375000.0,2516666.6666666665,6.7110932148625375
3,1,0,9700000,20600000,16,524,11100000,27400000,6100000,1,2.123711121266895,44600000,0.46188339771561887,808333.3333333334,1287500.0,1.592781534703256
2,1,1,2000000,5300000,10,681,1400000,4300000,2900000,0,2.6499986750006626,8600000,0.6162789981070932,166666.66666666666,530000.0,3.1799809201144793
2,0,1,8100000,22300000,18,737,12600000,27000000,7300000,0,2.7530860798659162,46900000,0.4754797339982999,675000.0,1238888.888888889,1.8353882274083875
0,1,0,5700000,15900000,16,638,9500000,16300000,4500000,0,2.789473194829264,30300000,0.5247524579289617,475000.0,993750.0,2.092100858735034
4,1,0,5800000,12800000,2,656,5000000,16000000,2800000,0,2.206896171224798,23800000,0.5378151034531469,483333.3333333333,6400000.0,13.241351914444316
1,0,0,1800000,6500000,6,540,3200000,5000000,1100000,1,3.611109104939386,9300000,0.6989246560296069,150000.0,1083333.3333333333,7.222174074395059
4,1,1,9100000,35200000,6,341,300000,23100000,8200000,1,3.8681314430624787,31600000,1.1139240153821515,758333.3333333334,5866666.666666667,7.736253534610723
0,1,1,4800000,17500000,2,371,6800000,18700000,3500000,0,3.6458325737848805,29000000,0.6034482550535084,400000.0,8750000.0,21.87494531263672
3,1,1,3800000,10500000,12,886,500000,14900000,2300000,0,2.763157167590219,17700000,0.5932203054677794,316666.6666666667,875000.0,2.763149169002624
0,1,0,1900000,4100000,18,801,800000,4800000,1200000,0,2.157893601108631,6800000,0.6029410878027812,158333.33333333334,227777.77777777778,1.438587405412878
3,1,1,3600000,9500000,16,748,2400000,9700000,2600000,0,2.638888155864401,14700000,0.6462584594382,300000.0,593750.0,1.979160069466435
2,1,1,7400000,28200000,8,376,5000000,17400000,5200000,1,3.8108102958364465,27600000,1.0217390934152502,616666.6666666666,3525000.0,5.716206946691438
4,1,1,6600000,14300000,8,371,9500000,18500000,7400000,1,2.1666663383838882,35400000,0.4039547908487347,550000.0,1787500.0,3.249994090919835
2,0,0,1800000,5300000,6,826,700000,6500000,1300000,0,2.944442808642884,8500000,0.6235293384083131,150000.0,883333.3333333334,5.888849629891356
4,1,0,9200000,27200000,12,873,1800000,33800000,11400000,0,2.956521417769411,47000000,0.5787233919420555,766666.6666666666,2266666.6666666665,2.9565178828027614
5,1,1,2400000,8600000,8,309,600000,5700000,2800000,1,3.5833318402784,9100000,0.9450548412027647,200000.0,1075000.0,5.374973125134375
4,1,0,5600000,13300000,20,869,7500000,20000000,6500000,0,2.3749995758929328,34000000,0.3911764590830453,466666.6666666667,665000.0,1.4249969464351147
5,0,0,3800000,13900000,12,534,2900000,8200000,2800000,1,3.6578937742384805,13900000,0.9999999280575591,316666.6666666667,1158333.3333333333,3.657883185632045
3,1,1,4500000,17900000,6,787,3600000,14300000,4200000,0,3.977776893827357,22100000,0.8099547144816871,375000.0,2983333.3333333335,7.955534340797314
0,0,1,900000,2200000,16,566,700000,2000000,600000,0,2.4444417283980795,3300000,0.6666664646465259,75000.0,137500.0,1.8333088892148104
0,1,0,2800000,9900000,8,742,1300000,6700000,1700000,0,3.5357130229596345,9700000,1.020618451482634,233333.33333333334,1237500.0,5.3035486990770035
2,1,0,7500000,23100000,4,824,10900000,26300000,9500000,0,3.0799995893333882,46700000,0.49464667035017834,625000.0,5775000.0,9.239985216023655
